ka	か
ki	き
ku	く
ke	け
ko	こ
kz	かん
kn	かん
kk	きん
kj	くん
kd	けん
kl	こん
kq	かい
kh	くう
kw	けい
kp	こう
sa	さ
si	し
su	す
se	せ
so	そ
sz	さん
sn	さん
sk	しん
sj	すん
sd	せん
sl	そん
sq	さい
sh	すう
sw	せい
sp	そう
ta	た
ti	ち
tu	つ
te	て
to	と
tz	たん
tn	たん
tk	ちん
tj	つん
td	てん
tl	とん
tq	たい
th	つう
tw	てい
tp	とう
na	な
ni	に
nu	ぬ
ne	ね
no	の
nz	なん
nk	にん
nj	ぬん
nd	ねん
nl	のん
nq	ない
nh	ぬう
nw	ねい
np	のう
ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ
hz	はん
hn	はん
hk	ひん
hj	ふん
hd	へん
hl	ほん
hq	はい
hh	ふう
hw	へい
hp	ほう
ma	ま
mi	み
mu	む
me	め
mo	も
mz	まん
mk	みん
mj	むん
md	めん
ml	もん
mq	まい
mh	むう
mw	めい
mp	もう
ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ
yz	やん
yn	やん
yk	いん
yj	ゆん
yd	いぇん
yl	よん
yq	やい
yh	ゆう
yw	いぇい
yp	よう
ra	ら
ri	り
ru	る
re	れ
ro	ろ
rz	らん
rn	らん
rk	りん
rj	るん
rd	れん
rl	ろん
rq	らい
rh	るう
rw	れい
rp	ろう
wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を
wz	わん
wn	わん
wk	うぃん
wj	うん
wd	うぇん
wl	をん
wq	わい
wh	うう
wp	うぉー
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
gz	がん
gn	がん
gk	ぎん
gj	ぐん
gd	げん
gl	ごん
gq	がい
gh	ぐう
gw	げい
gp	ごう
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
zz	ざん
zn	ざん
zk	じん
zj	ずん
zd	ぜん
zl	ぞん
zq	ざい
zh	ずう
zw	ぜい
zp	ぞう
da	だ
di	ぢ
du	づ
de	で
do	ど
dz	だん
dn	だん
dk	ぢん
dj	づん
dd	でん
dl	どん
dq	だい
dh	づう
dw	でい
dp	どう
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
bz	ばん
bn	ばん
bk	びん
bj	ぶん
bd	べん
bl	ぼん
bq	ばい
bh	ぶう
bw	べい
bp	ぼう
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
pz	ぱん
pn	ぱん
pk	ぴん
pj	ぷん
pd	ぺん
pl	ぽん
pq	ぱい
ph	ぷう
pw	ぺい
pp	ぽう
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
kyz	きゃん
kyn	きゃん
kyk	きぃん
kyj	きゅん
kyd	きぇん
kyl	きょん
kyq	きゃい
kyh	きゅう
kyw	きぇい
kyp	きょう
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
syz	しゃん
syn	しゃん
syk	しぃん
syj	しゅん
syd	しぇん
syl	しょん
syq	しゃい
syh	しゅう
syw	しぇい
syp	しょう
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
tyz	ちゃん
tyn	ちゃん
tyk	ちぃん
tyj	ちゅん
tyd	ちぇん
tyl	ちょん
tyq	ちゃい
tyh	ちゅう
tyw	ちぇい
typ	ちょう
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
nyz	にゃん
nyn	にゃん
nyk	にぃん
