,a,i,u,e,o,z,n,k,j,d,l,q,h,w,p
k,か,き,く,け,こ,かん,かん,きん,くん,けん,こん,かい,くう,けい,こう
s,さ,し,す,せ,そ,さん,さん,しん,すん,せん,そん,さい,すう,せい,そう
t,た,ち,つ,て,と,たん,たん,ちん,つん,てん,とん,たい,つう,てい,とう
n,な,に,ぬ,ね,の,なん,,にん,ぬん,ねん,のん,ない,ぬう,ねい,のう
h,は,ひ,ふ,へ,ほ,はん,はん,ひん,ふん,へん,ほん,はい,ふう,へい,ほう
m,ま,み,む,め,も,まん,,みん,むん,めん,もん,まい,むう,めい,もう
y,や,い,ゆ,いぇ,よ,やん,やん,いん,ゆん,いぇん,よん,やい,ゆう,いぇい,よう
r,ら,り,る,れ,ろ,らん,らん,りん,るん,れん,ろん,らい,るう,れい,ろう
w,わ,うぃ,う,うぇ,を,わん,わん,うぃん,うん,うぇん,をん,わい,うう,,うぉー
g,が,ぎ,ぐ,げ,ご,がん,がん,ぎん,ぐん,げん,ごん,がい,ぐう,げい,ごう
z,ざ,じ,ず,ぜ,ぞ,ざん,ざん,じん,ずん,ぜん,ぞん,ざい,ずう,ぜい,ぞう
d,だ,ぢ,づ,で,ど,だん,だん,ぢん,づん,でん,どん,だい,づう,でい,どう
b,ば,び,ぶ,べ,ぼ,ばん,ばん,びん,ぶん,べん,ぼん,ばい,ぶう,べい,ぼう
p,ぱ,ぴ,ぷ,ぺ,ぽ,ぱん,ぱん,ぴん,ぷん,ぺん,ぽん,ぱい,ぷう,ぺい,ぽう
ky,きゃ,きぃ,きゅ,きぇ,きょ,きゃん,きゃん,きぃん,きゅん,きぇん,きょん,きゃい,きゅう,きぇい,きょう
sy,しゃ,しぃ,しゅ,しぇ,しょ,しゃん,しゃん,しぃん,しゅん,しぇん,しょん,しゃい,しゅう,しぇい,しょう
ty,ちゃ,ちぃ,ちゅ,ちぇ,ちょ,ちゃん,ちゃん,ちぃん,ちゅん,ちぇん,ちょん,ちゃい,ちゅう,ちぇい,ちょう
ny,にゃ,にぃ,にゅ,にぇ,にょ,にゃん,にゃん,にぃん,にゅん,にぇん,にょん,にゃい,にゅう,にぇい,にょう
