a	あ
i	い
u	う
e	え
o	お
q	ん
nn	ん
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
lya	ゃ
lyu	ゅ
lyo	ょ
lga	ゃ
lgu	ゅ
lgo	ょ
ltu	っ
lka	ヵ
lke	ヶ
lwa	ゎ
wye	ゑ
wyi	ゐ
;	っ
:	ー
-	ー
,	、
.	。
/	・
[	「
]	」
z/	・
z,	‥
z.	…
z[	『
z]	』
z:	〜
z-	〜

kf	き
jf	じゅ
hf	ふ
yf	ゆ
kyf	ぴゅ
syf	しゅ
tyf	ちゅ
nyf	にゅ
hyf	ひゅ
myf	みゅ
ryf	りゅ
gyf	ぎゅ
zyf	じゅ
dyf	ぢゅ
byf	びゅ
pyf	ぴゅ
jyf	じゅ
mf	む
nf	ぬ
df	で
lf	ぉ
cf	ちぇ
dcf	でぇ
pf	ぽん
wf	わい
sf	さい
wsf	うぁい
zc	ざ
zf	ぜ
xc	しゃ
xf	しぇ
xv	しゃい
ss	せい
xx	しぇい
wss	うぇい
zv	ざい
zx	ぜい

kt	こと
st	した
tt	たち
ht	ひと
wt	わた
mn	もの
ms	ます
ds	です
km	かも
tm	ため
dm	でも
kr	から
sr	する
tr	たら
nr	なる
yr	よる
rr	られ
zr	ざる
mt	また
tb	たび
nb	ねば
bt	びと
gr	がら
gt	ごと
nt	にち
dt	だち
wr	われ
